location_id,parameter,value,unit,date,daily_avg_pm25
1894637,pm25,10.0,µg/m³,2024-02-20,17.16521739130435
1894637,pm25,22.0,µg/m³,2024-02-20,17.16521739130435
1894637,pm25,21.0,µg/m³,2024-02-20,17.16521739130435
1894637,pm25,29.0,µg/m³,2024-02-20,17.16521739130435
1894637,pm25,31.0,µg/m³,2024-02-20,17.16521739130435
1894637,pm25,13.0,µg/m³,2024-02-20,17.16521739130435
1894637,pm25,11.0,µg/m³,2024-02-20,17.16521739130435
1894637,pm25,12.0,µg/m³,2024-02-20,17.16521739130435
1894637,pm25,8.9,µg/m³,2024-02-20,17.16521739130435
1894637,pm25,8.5,µg/m³,2024-02-20,17.16521739130435
1894637,pm25,8.5,µg/m³,2024-02-20,17.16521739130435
1894637,pm25,7.7,µg/m³,2024-02-20,17.16521739130435
1894637,pm25,8.0,µg/m³,2024-02-20,17.16521739130435
1894637,pm25,8.2,µg/m³,2024-02-20,17.16521739130435
1894637,pm25,15.0,µg/m³,2024-02-20,17.16521739130435
1894637,pm25,19.0,µg/m³,2024-02-20,17.16521739130435
1894637,pm25,12.0,µg/m³,2024-02-20,17.16521739130435
1894637,pm25,28.0,µg/m³,2024-02-20,17.16521739130435
1894637,pm25,25.0,µg/m³,2024-02-20,17.16521739130435
1894637,pm25,32.0,µg/m³,2024-02-20,17.16521739130435
1894637,pm25,26.0,µg/m³,2024-02-20,17.16521739130435
1894637,pm25,21.0,µg/m³,2024-02-20,17.16521739130435
1894637,pm25,18.0,µg/m³,2024-02-20,17.16521739130435
1894637,pm25,18.0,µg/m³,2024-02-21,12.125
1894637,pm25,14.0,µg/m³,2024-02-21,12.125
1894637,pm25,12.0,µg/m³,2024-02-21,12.125
1894637,pm25,16.0,µg/m³,2024-02-21,12.125
1894637,pm25,20.0,µg/m³,2024-02-21,12.125
1894637,pm25,49.0,µg/m³,2024-02-21,12.125
1894637,pm25,18.0,µg/m³,2024-02-21,12.125
1894637,pm25,11.0,µg/m³,2024-02-21,12.125
1894637,pm25,9.1,µg/m³,2024-02-21,12.125
1894637,pm25,9.1,µg/m³,2024-02-21,12.125
1894637,pm25,8.2,µg/m³,2024-02-21,12.125
1894637,pm25,7.0,µg/m³,2024-02-21,12.125
1894637,pm25,7.0,µg/m³,2024-02-21,12.125
1894637,pm25,7.6,µg/m³,2024-02-21,12.125
1894637,pm25,10.0,µg/m³,2024-02-21,12.125
1894637,pm25,8.8,µg/m³,2024-02-21,12.125
1894637,pm25,8.8,µg/m³,2024-02-21,12.125
1894637,pm25,9.0,µg/m³,2024-02-21,12.125
1894637,pm25,9.2,µg/m³,2024-02-21,12.125
1894637,pm25,11.0,µg/m³,2024-02-21,12.125
1894637,pm25,7.6,µg/m³,2024-02-21,12.125
1894637,pm25,7.0,µg/m³,2024-02-21,12.125
1894637,pm25,6.8,µg/m³,2024-02-21,12.125
1894637,pm25,6.8,µg/m³,2024-02-21,12.125
1894637,pm25,6.3,µg/m³,2024-02-22,7.529166666666666
1894637,pm25,6.2,µg/m³,2024-02-22,7.529166666666666
1894637,pm25,6.0,µg/m³,2024-02-22,7.529166666666666
1894637,pm25,8.3,µg/m³,2024-02-22,7.529166666666666
1894637,pm25,8.8,µg/m³,2024-02-22,7.529166666666666
1894637,pm25,9.3,µg/m³,2024-02-22,7.529166666666666
1894637,pm25,6.4,µg/m³,2024-02-22,7.529166666666666
1894637,pm25,6.2,µg/m³,2024-02-22,7.529166666666666
1894637,pm25,7.0,µg/m³,2024-02-22,7.529166666666666
1894637,pm25,7.8,µg/m³,2024-02-22,7.529166666666666
1894637,pm25,7.8,µg/m³,2024-02-22,7.529166666666666
