location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
10528,"Lublin, ul. Obywatelska",co,260,µg/m³,2024-02-21T10:00:00+00:00,2024-02-21T11:00:00+01:00,Europe/Warsaw,51.25943099999999,22.569133,,,,Unknown Governmental Organization,GIOS
10528,"Lublin, ul. Obywatelska",co,280,µg/m³,2024-02-21T11:00:00+00:00,2024-02-21T12:00:00+01:00,Europe/Warsaw,51.25943099999999,22.569133,,,,Unknown Governmental Organization,GIOS
10528,"Lublin, ul. Obywatelska",co,270,µg/m³,2024-02-21T12:00:00+00:00,2024-02-21T13:00:00+01:00,Europe/Warsaw,51.25943099999999,22.569133,,,,Unknown Governmental Organization,GIOS
10528,"Lublin, ul. Obywatelska",co,300,µg/m³,2024-02-21T14:00:00+00:00,2024-02-21T15:00:00+01:00,Europe/Warsaw,51.25943099999999,22.569133,,,,Unknown Governmental Organization,GIOS
10528,"Lublin, ul. Obywatelska",co,350,µg/m³,2024-02-21T15:00:00+00:00,2024-02-21T16:00:00+01:00,Europe/Warsaw,51.25943099999999,22.569133,,,,Unknown Governmental Organization,GIOS
10528,"Lublin, ul. Obywatelska",co,360,µg/m³,2024-02-21T16:00:00+00:00,2024-02-21T17:00:00+01:00,Europe/Warsaw,51.25943099999999,22.569133,,,,Unknown Governmental Organization,GIOS
10528,"Lublin, ul. Obywatelska",co,380,µg/m³,2024-02-21T17:00:00+00:00,2024-02-21T18:00:00+01:00,Europe/Warsaw,51.25943099999999,22.569133,,,,Unknown Governmental Organization,GIOS
10528,"Lublin, ul. Obywatelska",co,370,µg/m³,2024-02-21T18:00:00+00:00,2024-02-21T19:00:00+01:00,Europe/Warsaw,51.25943099999999,22.569133,,,,Unknown Governmental Organization,GIOS
10528,"Lublin, ul. Obywatelska",co,390,µg/m³,2024-02-21T19:00:00+00:00,2024-02-21T20:00:00+01:00,Europe/Warsaw,51.25943099999999,22.569133,,,,Unknown Governmental Organization,GIOS
10528,"Lublin, ul. Obywatelska",co,300,µg/m³,2024-02-21T20:00:00+00:00,2024-02-21T21:00:00+01:00,Europe/Warsaw,51.25943099999999,22.569133,,,,Unknown Governmental Organization,GIOS
10528,"Lublin, ul. Obywatelska",co,260,µg/m³,2024-02-21T21:00:00+00:00,2024-02-21T22:00:00+01:00,Europe/Warsaw,51.25943099999999,22.569133,,,,Unknown Governmental Organization,GIOS
10528,"Lublin, ul. Obywatelska",co,260,µg/m³,2024-02-21T22:00:00+00:00,2024-02-21T23:00:00+01:00,Europe/Warsaw,51.25943099999999,22.569133,,,,Unknown Governmental Organization,GIOS
10528,"Lublin, ul. Obywatelska",co,260,µg/m³,2024-02-21T23:00:00+00:00,2024-02-22T00:00:00+01:00,Europe/Warsaw,51.25943099999999,22.569133,,,,Unknown Governmental Organization,GIOS
10528,"Lublin, ul. Obywatelska",co,260,µg/m³,2024-02-22T00:00:00+00:00,2024-02-22T01:00:00+01:00,Europe/Warsaw,51.25943099999999,22.569133,,,,Unknown Governmental Organization,GIOS
